 E              SP        Sig       dE     dN        SP1           Ions
 Various data to calculate stopping power for input of 1 ion/cm^2/s.
 Conversion from [eV*cm^2] to [(MeV/mg)*cm^2] is 3.345e-15.
 Ion Energy     dE/dN     Sigma       dE     dN        Sigma*dE      Counts
 [keV/u]        [eV*cm^2] [cm^2]      [eV]   [cm^-2]   [eV*cm^2]    per bin
     1.50       5.18E-18  2.93E-16    38.50  5.10E+15  1.13E-14     6526696
     2.50       4.95E-18  3.68E-16    38.37  3.61E+15  1.41E-14     6543307
     3.50       7.26E-18  4.63E-16    38.35  2.75E+15  1.77E-14     6551328
     4.50       1.23E-17  5.66E-16    38.35  2.27E+15  2.17E-14     6547176
     5.50       1.09E-17  6.70E-16    38.60  1.98E+15  2.59E-14     6515604
     6.50       1.74E-17  7.69E-16    39.12  1.80E+15  3.01E-14     6464909
     7.50       1.64E-17  8.57E-16    39.63  1.69E+15  3.39E-14     6400446
     8.50       1.93E-17  9.30E-16    39.82  1.62E+15  3.70E-14     6382108
     9.50       2.40E-17  9.85E-16    39.05  1.57E+15  3.85E-14     6490274
    10.50       2.07E-17  1.02E-15    39.15  1.56E+15  3.98E-14     6440664
    11.50       2.56E-17  1.03E-15    40.56  1.57E+15  4.19E-14     6217593
    12.50       3.97E-17  1.04E-15    41.97  1.57E+15  4.36E-14     6008192
    13.50       2.12E-17  1.04E-15    43.44  1.57E+15  4.51E-14     5806989
    14.50       2.51E-17  1.04E-15    44.87  1.56E+15  4.66E-14     5621065
    15.50       2.51E-17  1.03E-15    46.40  1.56E+15  4.79E-14     5435632
    16.50       2.43E-17  1.03E-15    47.84  1.55E+15  4.91E-14     5272242
    17.50       3.00E-17  1.02E-15    49.34  1.54E+15  5.03E-14     5112130
    18.50       3.76E-17  1.01E-15    50.78  1.54E+15  5.14E-14     4967573
    19.50       3.89E-17  1.00E-15    52.29  1.53E+15  5.25E-14     4823599
    20.50       3.34E-17  9.96E-16    53.74  1.52E+15  5.35E-14     4693620
    21.50       4.98E-17  9.91E-16    55.17  1.51E+15  5.47E-14     4572194
    22.50       5.11E-17  9.85E-16    56.64  1.50E+15  5.58E-14     4453203
    23.50       6.81E-17  9.79E-16    58.07  1.49E+15  5.68E-14     4343971
    24.50       4.80E-17  9.74E-16    59.48  1.48E+15  5.79E-14     4241422
    25.50       5.86E-17  9.69E-16    60.92  1.46E+15  5.90E-14     4141353
    26.50       4.45E-17  9.67E-16    62.35  1.45E+15  6.03E-14     4046304
    27.50       5.22E-17  9.63E-16    63.66  1.44E+15  6.13E-14     3962886
    28.50       4.14E-17  9.61E-16    65.01  1.43E+15  6.25E-14     3880713
    29.50       5.57E-17  9.60E-16    66.32  1.42E+15  6.37E-14     3804291
    30.50       6.29E-17  9.59E-16    67.59  1.41E+15  6.48E-14     3732830
    31.50       4.68E-17  9.58E-16    68.87  1.40E+15  6.60E-14     3663408
    32.50       5.98E-17  9.59E-16    70.08  1.39E+15  6.72E-14     3600168
    33.50       5.18E-17  9.61E-16    71.26  1.38E+15  6.84E-14     3540345
    34.50       4.80E-17  9.62E-16    72.50  1.36E+15  6.97E-14     3480206
    35.50       6.73E-17  9.64E-16    73.66  1.35E+15  7.10E-14     3425401
    36.50       5.60E-17  9.67E-16    74.80  1.34E+15  7.23E-14     3373037
    37.50       5.56E-17  9.70E-16    75.84  1.33E+15  7.36E-14     3326466
    38.50       6.42E-17  9.75E-16    76.94  1.32E+15  7.50E-14     3279326
    39.50       6.83E-17  9.79E-16    77.98  1.31E+15  7.63E-14     3235624
    40.50       7.32E-17  9.83E-16    78.97  1.30E+15  7.76E-14     3194980
    41.50       1.42E-16  9.89E-16    79.91  1.28E+15  7.90E-14     3157772
    42.50       8.92E-17  9.95E-16    80.75  1.27E+15  8.03E-14     3124776
    43.50       8.02E-17  1.00E-15    81.70  1.26E+15  8.18E-14     3088079
    44.50       8.34E-17  1.01E-15    82.62  1.25E+15  8.33E-14     3054231
    45.50       7.13E-17  1.02E-15    83.42  1.24E+15  8.48E-14     3024931
    46.50       7.58E-17  1.02E-15    84.21  1.23E+15  8.62E-14     2996778
    47.50       8.94E-17  1.03E-15    84.84  1.22E+15  8.76E-14     2973721
    48.50       9.44E-17  1.04E-15    85.66  1.21E+15  8.90E-14     2945959
    49.50       1.01E-16  1.05E-15    86.42  1.20E+15  9.05E-14     2919557
    50.50       2.96E-16  1.06E-15    87.25  1.19E+15  9.21E-14     2892162
    51.50       1.47E-16  1.06E-15    87.85  1.18E+15  9.34E-14     2871977
    52.50       1.08E-16  1.07E-15    88.60  1.17E+15  9.48E-14     2848623
    53.50       1.91E-16  1.08E-15    89.23  1.16E+15  9.61E-14     2828172
    54.50       9.21E-17  1.08E-15    89.84  1.15E+15  9.74E-14     2808772
    55.50       9.18E-17  1.09E-15    90.52  1.14E+15  9.88E-14     2787545
